12-Jun-2020;;;;
iShares NASDAQ 100 UCITS ETF USD (Acc);;;;
;;;;
ISIN;Name;Location;Weight (%);Sector
US98980L1017;ZOOM VIDEO COMMUNICATIONS INC CLAS;United States;0,37;Information Technology
US2855121099;ELECTRONIC ARTS INC;United States;0,36;Communication
US2521311074;DEXCOM INC;United States;0,34;Health Care
US2786421030;EBAY INC;United States;0,34;Consumer Discretionary
US7782961038;ROSS STORES INC;United States;0,34;Consumer Discretionary
US98389B1008;XCEL ENERGY INC;United States;0,34;Utilities
US0567521085;BAIDU ADR REPTG INC CLASS A;China;0,33;Communication
US5719032022;MARRIOTT INTERNATIONAL INC CLASS A;United States;0,31;Consumer Discretionary
US67103H1077;OREILLY AUTOMOTIVE INC;United States;0,31;Consumer Discretionary
US1924461023;COGNIZANT TECHNOLOGY SOLUTIONS COR;United States;0,31;Information Technology
US64110W1027;NETEASE ADR INC;China;0,31;Communication
NL0009538784;NXP SEMICONDUCTORS NV;United States;0,30;Information Technology
US4824801009;KLA CORP;United States;0,30;Information Technology
US98138H1014;WORKDAY INC CLASS A;United States;0,29;Information Technology
US8486371045;SPLUNK INC;United States;0,28;Information Technology
US1729081059;CINTAS CORP;United States;0,28;Industrials
US8716071076;SYNOPSYS INC;United States;0,28;Information Technology
US92345Y1064;VERISK ANALYTICS INC;United States;0,27;Industrials
US7043261079;PAYCHEX INC;United States;0,27;Information Technology
US82968B1035;SIRIUS XM HOLDINGS INC;United States;0,27;Communication
US45168D1046;IDEXX LABORATORIES INC;United States;0,27;Health Care
US8125781026;SEATTLE GENETICS INC;United States;0,26;Health Care
USN070592100;ASML HOLDING ADR REPRESENTING NV;Netherlands;0,26;Information Technology
US6937181088;PACCAR INC;United States;0,26;Industrials
US1273871087;CADENCE DESIGN SYSTEMS INC;United States;0,26;Information Technology
US22160N1090;COSTAR GROUP INC;United States;0,25;Industrials
US0153511094;ALEXION PHARMACEUTICALS INC;United States;0,25;Health Care
US92343E1029;VERISIGN INC;United States;0,24;Information Technology
US5950171042;MICROCHIP TECHNOLOGY INC;United States;0,24;Information Technology
US3119001044;FASTENAL;United States;0,23;Industrials
US9839191015;XILINX INC;United States;0,23;Information Technology
US03662Q1058;ANSYS INC;United States;0,23;Information Technology
US83088M1027;SKYWORKS SOLUTIONS INC;United States;0,22;Information Technology
US1567821046;CERNER CORP;United States;0,21;Health Care
US2567461080;DOLLAR TREE INC;United States;0,21;Consumer Discretionary
US45337C1027;INCYTE CORP;United States;0,20;Health Care
US0162551016;ALIGN TECHNOLOGY INC;United States;0,20;Health Care
US2172041061;COPART INC;United States;0,20;Industrials
US09061G1013;BIOMARIN PHARMACEUTICAL INC;United States;0,19;Health Care
--;USD CASH;United States;0,18;Cash and/or Derivatives
US1773761002;CITRIX SYSTEMS INC;United States;0,18;Information Technology
US12514G1085;CDW CORP;United States;0,17;Information Technology
US57772K1016;MAXIM INTEGRATED PRODUCTS INC;United States;0,16;Information Technology
IL0010824113;CHECK POINT SOFTWARE TECHNOLOGIES;Israel;0,16;Information Technology
US8740541094;TAKE TWO INTERACTIVE SOFTWARE INC;United States;0,16;Communication
US89677Q1076;TRIP COM GROUP ADR LTD;China;0,15;Consumer Discretionary
US90384S3031;ULTA BEAUTY INC;United States;0,13;Consumer Discretionary
US9581021055;WESTERN DIGITAL CORP;United States;0,13;Information Technology
US30212P3038;EXPEDIA GROUP INC;United States;0,12;Consumer Discretionary
US9100471096;UNITED AIRLINES HOLDINGS INC;United States;0,12;Industrials
US35137L1052;FOX CORP CLASS A;United States;0,10;Communication
GB00B8W67B19;LIBERTY GLOBAL PLC CLASS C;United States;0,10;Communication
US64110D1046;NETAPP INC;United States;0,10;Information Technology
US35137L2043;FOX CORP CLASS B;United States;0,08;Communication
GB00B8W67662;LIBERTY GLOBAL PLC CLASS A;United States;0,04;Communication
--;CASH COLLATERAL USD CSFBI;United States;0,01;Cash and/or Derivatives
--;EUR CASH;European Union;0,00;Cash and/or Derivatives
--;GBP CASH;United Kingdom;0,00;Cash and/or Derivatives
--;NASDAQ 100 E-MINI SEP 20;--;0,00;Cash and/or Derivatives
--;CAD CASH;Canada;0,00;Cash and/or Derivatives
